cycle,N(t),Ne-heterozygosity,Ne-inbreeding
50573,1500,1607.38,1501.0
50574,1500,1609.17,1509.57
50575,1500,1609.54,1470.07
50576,1500,1611.23,1519.27
50577,1500,1609.58,1549.66
50578,1500,1611.09,1485.62
50579,1500,1608.86,1494.02
50580,1500,1607.28,1468.15
50581,1500,1605.74,1472.0
50582,1500,1605.46,1485.62
50583,1500,1604.59,1502.01
50584,1500,1604.93,1463.84
50585,1500,1602.35,1485.62
50586,1500,1600.72,1469.11
50587,1500,1599.33,1506.03
50588,1500,1598.86,1531.18
50589,1500,1599.64,1499.0
50590,1500,1600.65,1503.51
50591,1500,1597.83,1521.84
50592,1500,1598.19,1467.19
50593,1500,1598.27,1512.11
50594,1500,1595.17,1453.9
50595,1500,1590.07,1480.24
50596,1500,1588.84,1470.07
50597,1500,1588.87,1491.54
50598,1500,1589.79,1545.92
50599,1500,1589.61,1496.01
50600,1500,1586.72,1530.65
50601,1500,1586.54,1470.07
50602,1500,1586.87,1474.41
50603,1500,1587.43,1488.57
50604,1500,1589.37,1475.38
50605,1500,1588.31,1499.0
50606,1500,1587.62,1525.46
50607,1500,1585.55,1477.32
50608,1500,1584.17,1490.55
50609,1500,1585.23,1454.84
50610,1500,1589.04,1448.28
50611,1500,1590.08,1528.05
50612,1500,1592.8,1501.5
50613,1500,1592.53,1508.56
50614,1500,1593.49,1537.99
50615,1500,1594.55,1472.0
50616,1500,1599.21,1493.02
50617,1500,1597.17,1537.99
50618,1500,1594.64,1535.89
50619,1500,1594.56,1502.51
50620,1500,1594.5,1439.92
50621,1500,1597.8,1531.7
50622,1500,1597.71,1480.24
50623,1500,1598.16,1479.75
50624,1500,1599.48,1456.25
50625,1500,1601.5,1483.17
50626,1500,1600.05,1478.78
50627,1500,1599.95,1477.32
50628,1500,1602.71,1515.68
50629,1500,1601.1,1488.57
50630,1500,1600.22,1494.02
50631,1500,1602.44,1521.33
50632,1500,1604.52,1540.62
50633,1500,1606.07,1536.41
50634,1500,1604.16,1515.17
50635,1500,1607.05,1531.7
50636,1500,1605.88,1518.24
50637,1500,1608.79,1528.05
50638,1500,1610.12,1463.84
50639,1500,1609.8,1500.5
50640,1500,1610.11,1542.74
50641,1500,1609.84,1517.22
50642,1500,1610.87,1474.41
50643,1500,1607.11,1486.6
50644,1500,1607.21,1544.33
50645,1500,1609.87,1534.84
50646,1500,1612.03,1441.31
50647,1500,1609.13,1476.83
50648,1500,1610.39,1494.02
50649,1500,1610.32,1506.54
50650,1500,1611.5,1463.37
50651,1500,1611.94,1504.02
50652,1500,1614.22,1512.62
50653,1500,1613.94,1479.26
50654,1500,1615.72,1504.52
50655,1500,1616.29,1499.5
50656,1500,1617.03,1509.57
50657,1500,1617.73,1474.41
50658,1500,1614.99,1485.13
50659,1500,1617.33,1514.15
50660,1500,1620.89,1528.05
50661,1500,1622.38,1489.07
50662,1500,1620.02,1498.5
50663,1500,1622.14,1483.66
50664,1500,1622.47,1524.94
50665,1500,1620.85,1470.07
50666,1500,1619.88,1492.53
50667,1500,1619.26,1509.07
50668,1500,1620.65,1506.54
50669,1500,1620.51,1523.39
50670,1500,1621.1,1500.5
50671,1500,1621.05,1479.26
50672,1500,1620.89,1508.56
50673,1500,1618.19,1494.02
50674,1500,1618.84,1480.73
50675,1500,1617.48,1451.08
50676,1500,1614.97,1447.81
50677,1500,1613.2,1456.73
50678,1500,1613.66,1464.8
50679,1500,1612.11,1475.86
50680,1500,1612.6,1470.55
50681,1500,1613.02,1490.05
50682,1500,1612.46,1538.51
50683,1500,1610.61,1513.13
50684,1500,1607.25,1485.13
50685,1500,1607.39,1529.09
50686,1500,1609.44,1492.03
50687,1500,1609.55,1515.17
50688,1500,1609.09,1460.04
50689,1500,1608.36,1483.17
50690,1500,1606.81,1492.53
50691,1500,1607.05,1478.29
50692,1500,1607.84,1535.89
50693,1500,1607.93,1517.73
50694,1500,1607.28,1503.51
50695,1500,1606.89,1557.71
50696,1500,1606.21,1572.98
50697,1500,1608.17,1516.2
50698,1500,1609.45,1539.04
50699,1500,1608.96,1489.07
50700,1500,1608.84,1473.93
50701,1500,1611.23,1546.46
50702,1500,1608.83,1520.3
50703,1500,1609.19,1516.71
50704,1500,1611.92,1474.41
50705,1500,1609.71,1524.42
50706,1500,1609.68,1471.03
50707,1500,1611.14,1518.76
50708,1500,1610.6,1458.62
50709,1500,1611.38,1509.07
50710,1500,1611.93,1481.7
50711,1500,1613.65,1540.62
50712,1500,1613.47,1501.5
50713,1500,1614.0,1521.84
50714,1500,1616.14,1501.0
50715,1500,1617.62,1507.04
50716,1500,1618.2,1550.19
50717,1500,1619.67,1508.05
50718,1500,1617.57,1481.21
50719,1500,1617.15,1501.0
50720,1500,1620.57,1562.59
50721,1500,1620.95,1530.65
50722,1500,1620.05,1505.53
50723,1500,1619.66,1497.0
50724,1500,1622.0,1535.89
50725,1500,1622.56,1491.04
50726,1500,1620.47,1540.62
50727,1500,1619.98,1549.12
50728,1500,1621.96,1565.85
50729,1500,1623.98,1485.62
50730,1500,1622.82,1484.15
50731,1500,1623.64,1499.5
50732,1500,1621.32,1438.08
50733,1500,1620.03,1494.02
50734,1500,1618.48,1499.0
50735,1500,1619.08,1503.51
50736,1500,1619.26,1507.55
50737,1500,1617.09,1502.51
50738,1500,1615.37,1477.8
50739,1500,1613.12,1484.15
50740,1500,1613.53,1455.78
50741,1500,1611.8,1496.01
50742,1500,1611.0,1518.24
50743,1500,1610.55,1473.93
50744,1500,1610.34,1504.52
50745,1500,1609.24,1514.15
50746,1500,1611.03,1499.0
50747,1500,1610.74,1509.07
50748,1500,1610.3,1537.46
50749,1500,1611.9,1472.48
50750,1500,1611.14,1474.41
50751,1500,1609.61,1519.78
